date,us_base,us_behavioral,us_adj_total,tw_base,tw_behavioral,tw_adj_total,divergence_base,divergence_behavioral
2010-01-04,,,,,,,,
2010-01-05,,,,,,,,
2010-01-06,,,,,,,,
2010-01-07,,,,,,,,
2010-01-08,,,,,,,,
2010-01-11,,,,,,,,
2010-01-12,,,,,,,,
2010-01-13,,,,,,,,
2010-01-14,,,,,,,,
2010-01-15,,,,,,,,
2010-01-19,,,,,,,,
2010-01-20,,,,,,,,
2010-01-21,,,,,,,,
2010-01-22,,,,,,,,
2010-01-25,,,,,,,,
2010-01-26,,,,,,,,
2010-01-27,,,,,,,,
2010-01-28,,,,,,,,
2010-01-29,,,,,,,,
2010-02-01,,,,,,,,
2010-02-02,,,,,,,,
2010-02-03,,,,,,,,
2010-02-04,,,,,,,,
2010-02-05,,,,,,,,
2010-02-08,,,,,,,,
2010-02-09,,,,,,,,
2010-02-10,,,,,,,,
2010-02-11,,,,,,,,
2010-02-12,,,,,,,,
2010-02-16,,,,,,,,
2010-02-17,,,,,,,,
2010-02-18,,,,,,,,
2010-02-19,,,,,,,,
2010-02-22,,,,,,,,
2010-02-23,,,,,,,,
2010-02-24,,,,,,,,
2010-02-25,,,,,,,,
2010-02-26,,,,,,,,
2010-03-01,,,,,,,,
2010-03-02,,,,,,,,
2010-03-03,,,,,,,,
2010-03-04,,,,,,,,
2010-03-05,,,,,,,,
2010-03-08,,,,,,,,
2010-03-09,,,,,,,,
2010-03-10,,,,,,,,
2010-03-11,,,,,,,,
2010-03-12,,,,,,,,
2010-03-15,,,,,,,,
2010-03-16,,,,,,,,
2010-03-17,,,,,,,,
2010-03-18,,,,,,,,
2010-03-19,,,,,,,,
2010-03-22,,,,,,,,
2010-03-23,,,,,,,,
2010-03-24,,,,,,,,
2010-03-25,,,,,,,,
2010-03-26,,,,,,,,
2010-03-29,,,,,,,,
2010-03-30,75.85339449168876,81.17213952846802,5.318745036779262,84.11650241679662,84.11650241679662,0.0,8.26310792510786,2.944362888328598
2010-03-31,70.16793908527352,75.01290664309829,4.8449675578247735,75.90418029978399,75.90418029978399,0.0,5.736241214510471,0.8912736566856978
2010-04-01,68.5173129009499,72.99930553819824,4.481992637248339,76.0825920246377,76.0825920246377,0.0,7.565279123687802,3.0832864864394622
2010-04-05,70.09491967768639,74.68925383488458,4.59433415719819,86.67683594070758,86.67683594070758,0.0,16.581916263021185,11.987582105822995
2010-04-06,72.12253100126398,76.95601431235279,4.833483311088813,83.49010826953611,83.49010826953611,0.0,11.367577268272129,6.534093957183316
2010-04-07,65.0103848895719,67.0269883503131,2.0166034607412087,68.25110711725199,72.16662474582316,3.915517628571166,3.240722227680095,5.139636395510053
2010-04-08,65.78908025714217,68.0567660097185,2.2676857525763268,71.13676357972625,74.89614523929932,3.759381659573066,5.347683322584075,6.839379229580814
2010-04-09,65.77622001491041,68.18877907574254,2.4125590608321374,69.3172220108544,73.6392526095743,4.3220305987199055,3.5410019959439865,5.4504735338317545
2010-04-12,69.19644537464019,73.18834261721894,3.9918972425787445,67.79714893293672,71.70049475027717,3.903345817340451,1.39929644170347,1.4878478669417632
2010-04-13,68.33182753403122,71.99319693890608,3.6613694048748613,65.81012708247792,68.96482636658948,3.154699284111558,2.5217004515533006,3.0283705723166037
2010-04-14,72.10644425614535,76.86809612809444,4.761651871949084,71.58689400566925,77.06499480882506,5.478100803155812,0.5195502504761009,0.19689868073062655
2010-04-15,69.5287784135431,73.53555885512658,4.006780441583487,69.25327904524623,73.26576961963207,4.012490574385836,0.27549936829686317,0.26978923549451395
2010-04-16,64.30844750631597,65.39518689113719,1.0867393848212146,64.27680056163682,65.55930864392269,1.2825080822858723,0.031646944679152966,0.16412175278550478
2010-04-19,68.12634202601684,70.95165651216695,2.8253144861501056,68.38374450871521,68.38374450871521,0.0,0.2574024826983674,2.567912003451738
2010-04-20,73.7980982290295,77.66169743963218,3.863599210602672,69.63826075069724,69.63826075069724,0.0,4.159837478332264,8.023436688934936
2010-04-21,69.09519215574406,71.73867081876139,2.6434786630173335,61.08541087427574,61.34605756168393,0.2606466874081903,8.009781281468321,10.392613257077464
2010-04-22,70.43796826357018,74.1943431441204,3.7563748805502115,65.75127304819158,66.95537385228621,1.2041008040946366,4.686695215378606,7.238969291834181
2010-04-23,68.14353245390758,71.92593777576079,3.7824053218532043,67.65332702339927,69.363330773544,1.710003750144736,0.4902054305083112,2.5626070022167795
2010-04-26,65.65139551984733,68.0793549982064,2.427959478359071,67.26565837184539,69.9899333442504,2.724274972405013,1.6142628519980633,1.9105783460440051
2010-04-27,39.23399372044152,39.23399372044152,0.0,44.70624819886195,44.70624819886195,0.0,5.472254478420432,5.472254478420432
2010-04-28,53.77917418933614,53.77917418933614,0.0,54.86230141867293,54.86230141867293,0.0,1.0831272293367888,1.0831272293367888
2010-04-29,61.003002291030626,61.350452967642866,0.3474506766122403,54.790739780520525,54.790739780520525,0.0,6.212262510510101,6.559713187122341
2010-04-30,50.10589189179685,50.10589189179685,0.0,41.181718714825244,41.181718714825244,0.0,8.924173176971607,8.924173176971607
2010-05-03,54.60820891198337,54.60820891198337,0.0,47.81031059002885,47.81031059002885,0.0,6.79789832195452,6.79789832195452
2010-05-04,44.41610762914348,44.41610762914348,0.0,34.93255795087146,34.91984975118306,-0.01270819968840442,9.48354967827202,9.496257877960424
2010-05-05,41.89262263098557,41.89262263098557,0.0,38.73870508278166,38.73870508278166,0.0,3.153917548203914,3.153917548203914
2010-05-06,24.602223840609433,18.177067389494987,-6.4251564511144466,23.770260689655192,17.513532796661252,-6.25672789299394,0.8319631509542411,0.6635345928337344
2010-05-07,22.53942292845136,14.78801452372019,-7.751408404731169,28.24736537297005,25.38390278736944,-2.8634625856006117,5.707942444518693,10.59588826364925
2010-05-10,36.051304004501,36.051304004501,0.0,30.54627711467851,28.108096317203437,-2.4381807974750735,5.505026889822489,7.943207687297562
2010-05-11,32.49010692398595,31.55443911588603,-0.9356678080999181,30.142669038254716,27.55939547191804,-2.5832735663366755,2.3474378857312317,3.995043643967989
2010-05-12,37.02740399909549,37.02740399909549,0.0,28.48842538026557,23.837938101045133,-4.650487279220439,8.538978618829919,13.189465898050358
2010-05-13,34.0703566411056,33.75182584531544,-0.31853079579015997,31.67940338455724,31.067714558766156,-0.6116888257910844,2.3909532565483573,2.6841112865492818
2010-05-14,28.09291478588151,25.339992964133618,-2.7529218217478935,20.99104060475008,15.03453518094809,-5.956505423801989,7.101874181131432,10.305457783185528
2010-05-17,30.124187777679904,28.264292989524513,-1.8598947881553904,27.11193547679825,22.62836427970841,-4.483571197089841,3.012252300881652,5.635928709816103
2010-05-18,24.834667176160796,20.70127864180123,-4.133388534359565,21.82928756947546,14.183270964756565,-7.646016604718897,3.0053796066853344,6.518007677044666
