date,spy_fwd_5d,spy_fwd_10d,spy_fwd_20d,spy_fwd_60d,taiex_fwd_5d,taiex_fwd_10d,taiex_fwd_20d,taiex_fwd_60d
2010-01-04,0.012353401164759914,0.015265076894709129,-0.026030111841547465,0.03663462327895961,0.014129312105931824,0.015835004700291977,-0.08323466943936897,-0.01830537965402379
2010-01-05,0.00026417797648803365,0.0022882000951292003,-0.03344205020723923,0.04096718492503104,0.011930998320376807,0.004578974465277996,-0.09520769208721769,-0.01453695355603124
2010-01-06,0.008002214242245786,-0.017676825263108986,-0.06393472456784943,0.04871216684082813,-0.015738131083154805,-0.01281169663774906,-0.09362086543655179,-0.02520151998688469
2010-01-07,0.006480248106881303,-0.043611591548365136,-0.06594270694467375,0.04676609179833502,0.006380736062041814,-0.013298811617250217,-0.08441695315881526,-0.025212810742569425
2010-01-08,-0.008117000114673978,-0.04189549686315208,-0.07576141920224544,0.03733481001220951,0.009176493092068805,-0.04269935578336759,-0.12837596957687047,-0.0221919050200593
2010-01-11,0.002876145550159581,-0.04724155483453474,-0.06545832509414395,0.03947605048224845,0.0016819281071938086,-0.05416128794207953,-0.1331046180165989,-0.01824626848598665
2010-01-12,0.0020234875577926914,-0.03369732609230702,-0.05850810893604563,0.05615287570622329,-0.007265341082842491,-0.085512931740652,-0.11412757966677611,-0.02380430789278898
2010-01-13,-0.02547518164397944,-0.05278328249925013,-0.056621677933737624,0.04897167997869345,0.0029732274893736754,-0.07765794980624874,-0.09207735848247323,-0.04176601253676171
2010-01-14,-0.04976932209992757,-0.06560440016446467,-0.05994953337527831,0.04692870534146554,-0.019554773828737937,-0.07182144586712602,-0.08805075899713266,-0.04699160633198718
2010-01-15,-0.034054920542426204,-0.04030282215949643,-0.03431952260311877,0.07082923798185847,-0.05140413914764441,-0.08573144877646444,-0.09087692847395257,-0.0438391785181832
2010-01-19,-0.04997396797906761,-0.04067429253310084,-0.0417173409494781,0.058486540459752545,-0.07882024663383824,-0.09933182864553824,-0.09965306942695784,-0.02959250899882615
2010-01-20,-0.035648678991708316,-0.035648678991708316,-0.026165341083910554,0.05234478949457744,-0.08039215313598846,-0.08185790747679633,-0.09546700710402034,-0.007637507868376914
2010-01-21,-0.028021965516833225,-0.04709030642296552,-0.005013432576296162,0.07702232875627368,-0.05330911981946673,-0.07207667567334253,-0.06768319529952327,0.0022847203327733823
2010-01-22,-0.016664456781727233,-0.023349420799089415,0.017855839273330343,0.11141684289878295,-0.036187496747008274,-0.08949812612276331,-0.04158907992612282,0.019456786564628237
2010-01-25,-0.006468174795795645,-0.035346793829082235,0.00036388230927042464,0.10373378637051389,-0.04424239954715414,-0.08346383909658073,-0.030924702717577413,0.022997543570504986
2010-01-26,0.009788863812693949,-0.019120030215471262,0.013813996237950654,0.11168570328183924,-0.022266644416300885,-0.03129038006036511,-0.0038177540826090928,0.05335564024602801
2010-01-27,0.0,-0.025675995227669834,0.00764800528563514,0.11364495323127599,-0.0015938906413275333,-0.01563347206515797,0.014051594701214531,0.051870166956782926
2010-01-28,-0.01961807801168214,-0.004052288524441505,0.019987949440851693,0.12231561056931262,-0.019824375883178202,-0.017485119708640973,0.008797070367678739,0.030695510998939746
2010-01-29,-0.006798253214242211,0.006051897922231042,0.04190299199273073,0.10781141016455997,-0.055312240913896527,-0.005627974068015407,0.017034361100259243,0.007389655721800281
2010-02-01,-0.029066627057820815,0.006234570335864831,0.028791472387049266,0.09913456350128769,-0.041037015589353576,0.0006644840356089254,0.033810167682935655,0.0072840168942469585
2010-02-02,-0.028628652052086312,-0.0010872724542444479,0.017394332493296583,0.09945364605237272,-0.009229239845946702,-0.0003566694057106634,0.043077672501774744,0.018505667573466944
2010-02-03,-0.025675995227669834,0.00983390357974745,0.025585166889895206,0.08621757284830811,-0.014061994705590108,-0.0148224329742076,0.026543597501156535,0.015467786625226632
2010-02-04,0.015877271028898132,0.04415620297524847,0.07337473430164465,0.13533995202358762,0.002386568403641931,0.0047347450577419625,0.012314946749736988,0.008803946801336116
2010-02-05,0.012938107668516885,0.042190381032829016,0.07134826854395993,0.10635655352440598,0.052593321304328144,0.05261828401585489,0.06619718729096258,0.053322110711587545
2010-02-08,0.03635800187474647,0.03701918566165574,0.0809327368178343,0.1077635460808608,0.043486036794831096,0.0573235826584475,0.08757905472533789,0.07687074360399548
2010-02-09,0.02835309035625233,0.03357600059939703,0.07228130308148861,0.05768608099636463,0.008955220316409385,0.028360021839638705,0.07136203419876197,0.055846696933754325
2010-02-10,0.03644567785817299,0.034202175405800395,0.07887095636929864,0.043998077405158265,-0.0007712840609999105,0.03015651784569573,0.061284505857887694,0.02108082387703858
2010-02-11,0.027836957034887533,0.024138052317702607,0.06778873923699802,0.07868645810782571,,,,
2010-02-12,0.028878638430972048,0.03563543207317843,0.06895641666680774,0.07651823142705316,,,,
2010-02-16,0.0006379878243938375,0.022417140810075065,0.06078027069216452,0.07466459075837806,,,,
2010-02-17,0.005078907519337816,0.01850172135953132,0.06203488500244814,0.056299878915967216,,,,
2010-02-18,-0.002164611711256259,0.015597875308316578,0.05526952620226311,0.03109709662022042,,,,
2010-02-19,-0.0035987271053724568,0.027982912176492514,0.04775605658854731,0.029505408338228456,,,,
2010-02-22,0.006567143480119553,0.027977505877798237,0.05316716841748104,0.015318913268935974,0.002342585912578299,0.026749915551941505,0.036499839500248266,0.0033412366812655137
2010-02-23,0.021765267010333877,0.04234593897909433,0.07361408075304388,0.02194927188428686,2.3715437882376733e-05,0.02279060007448841,0.02822407039821684,-0.005038534373084991
2010-02-24,0.013354985105918482,0.03744795008750734,0.058664411564263386,-0.025601505163400873,0.013260882633484794,0.0331236734950886,0.03891803046724296,-0.013976674070354633
2010-02-25,0.017801019314453326,0.04319153645753171,0.058375218237802784,-0.010035654045405962,0.019232569624986873,0.04344983913578804,0.05535778809473335,-0.025481474975187934
2010-02-26,0.03169570346906281,0.042621877803007635,0.05707098050998294,-0.023356009611676276,0.03095167443985236,0.04198840073089194,0.0592729178413669,-0.015245914998184729
2010-03-01,0.021270674824189317,0.032174434710992905,0.05284782749564054,-0.032407094787260116,0.02435028700006958,0.007544480500233153,0.048787563244402365,-0.06484500449766606
2010-03-02,0.020142270082226466,0.03752199405782042,0.050654714635993026,-0.040897210735656,0.022766344722771725,0.012900121042266788,0.047988689354026004,-0.05663215091863971
2010-03-03,0.023775444277377877,0.042742356473199905,0.04614254816975971,-0.00965165466186202,0.019602839902375546,0.02861514919663355,0.03808095712146775,-0.05064010442116362
2010-03-04,0.02494644499391474,0.03906236105693184,0.0501163273683527,-0.02503193800375536,0.023760297926617158,0.04181610666096969,0.05856028796717605,-0.03625984801015658
2010-03-05,0.010590500956052962,0.019234896006384172,0.043755563401887576,-0.05494284643422043,0.010705376948959566,0.030216755874425738,0.046915918470502804,-0.03812552116413637
2010-03-08,0.010676660121158088,0.024504098966808607,0.04603317439132204,-0.030503624472311697,-0.016406308186874385,0.009495909179662032,0.04217573367043559,-0.060928073726355336
2010-03-09,0.017036568805440355,0.029997854459503648,0.03833188002208621,-0.028779116383800374,-0.009646605729072277,0.005312397594710916,0.04519471575355061,-0.07398152392580293
2010-03-10,0.01852643790378239,0.020450627402528232,0.037306456653021236,-0.06706191786191806,0.008839039027314755,0.005608580193068091,0.035803634853076804,-0.053836733215608334
2010-03-11,0.013772345015647058,0.014555027767797712,0.03977818175380299,-0.08250829123161907,0.01763675420009947,0.011412095255875165,0.044178614752693024,-0.05226941753919401
2010-03-12,0.008553805960132665,0.013858430380745634,0.0413399606349838,-0.07276045855628965,0.01930471467794681,0.016588012974377397,0.047677327173879736,-0.07620994211994869
2010-03-15,0.013681367534492228,0.02002897193480302,0.04185178421649427,-0.07795708061090423,0.02633426544124018,0.040934255055114166,0.051711011928440076,-0.0632527223289685
2010-03-16,0.012744168746348095,0.012657775597420873,0.04534906544713424,-0.05850467173791829,0.01510471253021306,0.03464168636454823,0.05217238860148399,-0.08107970405653908
2010-03-17,0.0018891895459345331,0.0032608167064969162,0.04004691060412391,-0.05950734313344075,-0.003202154862446016,0.00920247765379223,0.04129800448000531,-0.08487303187807194
2010-03-18,0.0007720498157193223,0.010638405090698022,0.024022339573330775,-0.06048383873663943,-0.006116778819685087,0.016072108310814848,0.028559579789622314,-0.0744133482028646
2010-03-19,0.005259634527444046,0.024057915885318915,0.03311177024644918,-0.03423355781310278,-0.002665249816319659,0.016209368077985786,-0.005531799873927712,-0.06463858322219362
2010-03-22,0.006261932598948361,0.021014142789887336,0.036796182958120704,-0.039711081269359294,0.01422537481743058,0.032372418940587844,0.008223510287535207,-0.048739242671351324
2010-03-23,-8.530599493272728e-05,0.008091303808546169,0.027680544661095485,-0.04488561665021218,0.01924626454116063,0.03967156702161567,0.022870135749689213,-0.037902666333388235
2010-03-24,0.0013690407830271312,0.016518025270265246,0.035774998862383,-0.03918576960330755,0.012444481673740349,0.030026647797905204,0.01993928406732337,-0.042133693897122515
2010-03-25,0.009858743833618622,0.024861297116136383,0.044234990197513424,-0.040376069604860176,0.02232544695155325,0.032396804082640784,0.021279307615611476,-0.025840445218162644
2010-03-26,0.018699926578382264,0.027105885230857663,0.04091630734782559,-0.05565874618949451,0.018925057901401088,0.030582019267116678,0.035709738333151275,-0.033538676003460055
2010-03-29,0.014660407706010847,0.02139430632082684,0.009887376171494155,-0.06452716697781058,0.0178925163713477,0.010352965925552349,0.025038242716312276,-0.04596443344440282
2010-03-30,0.008177307376820542,0.03228266314395034,0.016865459243762038,-0.08065528874574734,0.020039614753604162,0.016943742425973518,0.014986982838983032,-0.04676206513566239
2010-03-31,0.015128273264162662,0.03666653106057516,0.03299149057350115,-0.07364795677685676,0.017366054576245515,0.03180286170207314,0.016917786560923576,-0.056230540091134484
2010-04-01,0.01485609088808304,0.013243049556811215,0.008573800831907397,-0.08283852289671034,0.009851419781361281,0.012289946133417162,-0.0011031805956723817,-0.06393274010767713
2010-04-05,0.008251653340851206,0.00884115460725976,0.013387980518573483,-0.11834112143555542,,,,
