date,us_spy_vs_high,us_spy_mom_20d,us_spy_drawdown,us_vix,us_vix_inv,us_vix_zscore,us_10y_yield,us_10y_change_20d,us_vix_spy_corr_20d,tw_taiex_vs_high,tw_taiex_mom_20d,tw_taiex_drawdown,tw_volume_surge,tw_tsmc_vs_high,tw_tsmc_mom_20d,tw_realized_vol_20d,tw_drawdown_velocity,tw_tsmc_taiex_spread,fx_usdjpy_mom_20d,cross_us_tw_corr_60d,cross_gold_spy_ratio
2010-01-04,,,0.0,20.040000915527344,0.04990019732110803,,3.8410000801086426,,,,,0.0,,,,,,,,,1.2913399406089934
2010-01-05,,,0.0,19.350000381469727,0.05167958554448592,,3.755000114440918,,,,,0.0,,,,,,,,,1.2867577657093945
2010-01-06,,,0.0,19.15999984741211,0.05219206722149673,,3.808000087738037,,,,,0.0,,,,,,,,,1.3070681814015277
2010-01-07,,,0.0,19.059999465942383,0.05246589863692617,,3.822000026702881,,,,,-0.01083150140452438,,,,,,,,,1.2935204465011967
2010-01-08,,,0.0,18.1299991607666,0.0551572005675546,,3.808000087738037,,,,,-0.005610240444907211,,,,,,,,,1.2956285252039546
2010-01-11,,,0.0,17.549999237060547,0.05698005945711313,,3.818000078201294,,,,,-0.0004562915819303903,,,,,-0.0004562915819303903,,,,1.3110149461185818
2010-01-12,,,-0.009326334032973782,18.25,0.0547945205479452,,3.7190001010894775,,,,,-0.0021915130000297323,,,,,-0.0021915130000297323,,,,1.2956820187314628
2010-01-13,,,-0.0009593651597821218,17.850000381469727,0.056022407766338794,,3.7829999923706055,,,,,-0.015738131083154805,,,,,-0.015738131083154805,,,,1.2970406161944357
2010-01-14,,,0.0,17.6299991607666,0.05672150014762208,,3.7339999675750732,,,,,-0.004519878294100388,,,,,0.006311623110423992,,,,1.2992245793113382
2010-01-15,,,-0.011223643557940366,17.90999984741211,0.055834729677258714,,3.6760001182556152,,,,,0.0,,,,,0.005610240444907211,,,,1.3002495151795859
2010-01-19,,,0.0,17.579999923706055,0.05688282163480176,,3.7070000171661377,,,,,-0.01291032547916926,,,,,-0.010718812479139528,,,,1.291848340654204
2010-01-20,,,-0.010168617322752205,18.68000030517578,0.053533189703584956,,3.6589999198913574,,,,,-0.016269284155236652,,,,,-0.0005311530720818469,,,,1.2749259052841224
2010-01-21,,,-0.02920226239517043,22.270000457763672,0.04490345664323434,,3.6110000610351562,,,,,-0.027404715957414227,,,,,-0.02288483766331384,,,,1.281188384713355
2010-01-22,,,-0.050843263371669445,27.309999465942383,0.036616624663324326,,3.5980000495910645,,,,,-0.05140413914764441,,,,,-0.05140413914764441,,,,1.3079588261190522
2010-01-25,,,-0.04597579247419625,25.40999984741211,0.03935458504545585,,3.630000114440918,,,,,-0.057904116827817376,,,,,-0.05562223587639914,,,,1.305049728575109
2010-01-26,,,-0.04997396797906761,24.549999237060547,0.04073319882187228,,3.630000114440918,,,,,-0.09071297707461623,,,,,-0.07780265159544697,,,,1.311517415758559
2010-01-27,,,-0.04545479853973222,23.139999389648438,0.04321521289440245,,3.6440000534057617,,,,,-0.09535351450800444,,,,,-0.07908423035276779,,,,1.2928085251607457
2010-01-28,,,-0.05640592312215276,23.729999542236328,0.04214075091826822,,3.6579999923706055,,,,,-0.07925291449028882,,,,,-0.05184819853287459,,,,1.3071987807449186
2010-01-29,,,-0.06666044478829747,24.6200008392334,0.04061738285591128,,3.6089999675750732,,,,,-0.08573144877646444,0.7492212606282274,,,,-0.034327309628820024,,-0.028519173246869034,,1.3151069053109778
2010-02-01,,,-0.052146587807893496,22.59000015258789,0.04426737464565448,,3.6540000438690186,,,,-0.08323466943936897,-0.09958469930285019,0.6304845049589218,,-0.07858256592726609,0.20412349964111595,-0.04168058247503281,0.004652103512102879,-0.018757776732058917,,1.3241784497854847
2010-02-02,,-0.026030111841547465,-0.04067429253310084,21.479999542236328,0.04655493581523083,,3.634999990463257,-0.20600008964538574,-0.853811078080421,,-0.09520769208721769,-0.11095974788645258,0.7578897292415862,,-0.08527132229914247,0.20540733520909346,-0.020246770811836345,0.009936369788075217,-0.012633047903368055,,1.3177615932659492
2010-02-03,,-0.03344205020723923,-0.04545479853973222,21.600000381469727,0.046296295478674296,,3.703000068664551,-0.05200004577636719,-0.8497868275330246,,-0.09362086543655179,-0.09679542207493996,0.6571031929662193,,-0.07858256592726609,0.2076811321879469,-0.0014419075669355186,0.015038299509285702,-0.016414812504223386,,1.319142817515407
2010-02-04,,-0.06393472456784943,-0.07491742533370349,26.079999923706055,0.03834355839437812,,3.609999895095825,-0.19800019264221191,-0.8875567435947535,,-0.08441695315881526,-0.09750615080677405,0.6141710284494463,,-0.07943929203813227,0.20688458658089878,-0.018253236316485233,0.004977661120682986,-0.04261693707624348,,1.3069349695005181
2010-02-05,,-0.06594270694467375,-0.07300552341949484,26.110000610351562,0.03829950121117731,,3.5460000038146973,-0.2760000228881836,-0.8884671675838138,,-0.12837596957687047,-0.13630169114173973,1.02003328934542,,-0.10625021730491924,0.2446759807614892,-0.0505702423652753,0.022125752271951238,-0.037124997900393364,,1.3081132744645272
2010-02-08,,-0.07576141920224544,-0.07969748944556432,26.510000228881836,0.037721614159419374,,3.5920000076293945,-0.21600008010864258,-0.8838429151171101,,-0.1331046180165989,-0.13653505603445149,0.6921602628456694,,-0.11007763872043674,0.24190385315474575,-0.0369503567316013,0.023026979296162153,-0.03118622202239918,,1.309569418103529
2010-02-09,,-0.06545832509414395,-0.0681384944167921,26.0,0.038461538461538464,,3.632999897003174,-0.18500018119812012,-0.8720737295821589,,-0.11412757966677611,-0.11916491360590942,0.8660320408637102,,-0.07861650850195046,0.259978162410845,-0.008205165719456842,0.03551107116482566,-0.014404963361651202,,1.3103558160951372
2010-02-10,,-0.05850810893604563,-0.06996369657702128,25.399999618530273,0.03937007933143675,,3.694000005722046,-0.02500009536743164,-0.8696008967781698,,-0.09207735848247323,-0.10949628006778689,0.9353183378169646,,-0.07006360499779352,0.26493919453979187,-0.012700857992846926,0.02201375348467971,-0.016438248489315965,,1.309315310305401
2010-02-11,,-0.056621677933737624,-0.060229638571615784,23.959999084472656,0.041736228639843845,,3.7330000400543213,-0.04999995231628418,-0.8761361491556194,,,,,,,,,,-0.015964157468793427,,1.3205295794823453
2010-02-12,,-0.05994953337527831,-0.061011969073375805,22.729999542236328,0.043994721519541806,,3.693000078201294,-0.0409998893737793,-0.8681657733547735,,,,,,,,,,-0.008815460625430482,,1.320519539339301
2010-02-16,,-0.03431952260311877,-0.04623712904149224,22.25,0.0449438202247191,,3.6640000343322754,-0.012000083923339844,-0.8603239757295835,,,,,,,,,,-0.010471542756659402,,1.3313988603508127
2010-02-17,,-0.0417173409494781,-0.0417173409494781,21.719999313354492,0.04604051710927782,,3.742000102996826,0.03500008583068848,-0.8713033769861976,,,,,,,,,,-0.0015571353728917048,,1.320646547601777
2010-02-18,,-0.026165341083910554,-0.036067893066061285,20.6299991607666,0.048473099402823266,,3.802999973297119,0.14400005340576172,-0.8715508261388163,,,,,,,,,,0.017523477186976333,,1.321679234048905
2010-02-19,,-0.005013432576296162,-0.03406929139787318,20.020000457763672,0.04995004880792619,,3.7820000648498535,0.17100000381469727,-0.8600811592397155,,,,,,,,,,0.019262926221603527,,1.3128283111089152
2010-02-22,,0.017855839273330343,-0.0338952732372354,19.940000534057617,0.05015045001087112,,3.7990000247955322,0.20099997520446777,-0.8511599781197597,,-0.08805075899713266,-0.09535228750180835,0.7630013524997307,,-0.06645576634472594,0.26899774504887364,0.0021538633049656974,0.02159499265240672,0.009069288132732778,,1.3077956515864544
2010-02-23,,0.00036388230927042464,-0.0456286399424618,21.3700008392334,0.046794569991971645,,3.690999984741211,0.06099987030029297,-0.8652334266768844,,-0.09087692847395257,-0.09087692847395257,0.7398910238026958,,-0.05826786118502203,0.2672906664555544,0.045424762667787166,0.03260906728893054,0.005913270388627545,,1.3095514827949886
2010-02-24,,0.013813996237950654,-0.03685031194677535,20.270000457763672,0.04933399000575686,,3.694999933242798,0.06499981880187988,-0.8855198306643871,,-0.09692567962073051,-0.09898638771011892,0.7267577126787208,,-0.06995258520787773,0.2675602132078292,0.03754866832433257,0.026973094412852783,0.00365761413600052,,1.2912415753674107
2010-02-25,,0.00764800528563514,-0.03815443179358635,20.100000381469727,0.04975124283688592,,3.6419999599456787,-0.002000093460083008,-0.8875213908100659,,-0.09965306942695784,-0.11127684134482685,0.8943899307925004,,-0.06879993875052659,0.2686132815296739,0.007888072261082568,0.03085313067643125,-0.005658437875136535,,1.3044336144976518
2010-02-26,,0.019987949440851693,-0.0375454124208312,19.5,0.05128205128205128,,3.5950000286102295,-0.06299996376037598,-0.8881834452684219,,-0.09546700710402034,-0.11018311139323167,0.7376229753362201,,-0.06666654204404776,0.26950309228003394,-0.0006868313254447811,0.02880046505997258,-0.014944046456227711,,1.3170884385874568
2010-03-01,,0.04190299199273073,-0.027550724879762623,19.260000228881836,0.051921079341443827,,3.6059999465942383,-0.003000020980834961,-0.8730209811731873,,-0.06768319529952327,-0.09323307251466384,0.9576763712445472,,-0.04792362225922964,0.28116431891203253,0.002119214987144513,0.019759573040293632,-0.017739098418430577,,1.3035516015056379
2010-03-02,,0.028791472387049266,-0.024856492463794067,19.059999465942383,0.05246589863692617,,3.614000082015991,-0.039999961853027344,-0.8618994369605549,,-0.04158907992612282,-0.09085536822222229,0.8849225251478047,,-0.019639898006438727,0.2701825201195916,2.1560251730279312e-05,0.02194918191968409,-0.018666823482045514,,1.318838024945843
2010-03-03,,0.017394332493296583,-0.023987462208054477,18.829999923706055,0.05310674477173251,,3.625,-0.009999990463256836,-0.8579684648745514,,-0.030924702717577413,-0.08703815194637077,0.8498399303159538,,-0.006622469663048691,0.27038835995158683,0.01194823576374815,0.02430223305452872,-0.024988955686687575,,1.3249036650082242
2010-03-04,,0.025585166889895206,-0.02103260025642273,18.719999313354492,0.053418805378193525,,3.6059999465942383,-0.0970001220703125,-0.8602413102674583,,-0.0038177540826090928,-0.09418441131865307,1.015884506039148,,-0.014974909634254963,0.24161462617254797,0.017092430026173777,-0.01115715555164587,-0.0027961077033927806,,1.3114383959669689
2010-03-05,,0.07337473430164465,-0.007039737210482677,17.420000076293945,0.057405281034461804,,3.681999921798706,0.07200002670288086,-0.6805924513521526,,0.014051594701214531,-0.0826417887459927,0.9501684078155396,,0.013423038655468567,0.2449746598989746,0.027541322647238964,-0.0006285560457459649,0.011208249118113134,,1.292724145072961
2010-03-08,,0.07134826854395993,-0.0068660725656614074,17.790000915527344,0.056211351800841504,,3.7079999446868896,0.16199994087219238,-0.6800952180953151,,0.008797070367678739,-0.07115303758822467,1.027112194541887,,0.020000064049461086,0.24080448842782037,0.022080034926439174,0.011202993681782347,0.011948014766922865,,1.281650482654877
2010-03-09,,0.0809327368178343,-0.005214888566069997,17.920000076293945,0.05580357119098914,,3.7009999752044678,0.10899996757507324,-0.6537490053018511,,0.017034361100259243,-0.07015746813231194,0.8984514035098303,,-0.003251757858129256,0.23913146739770175,0.020697900089910348,-0.0202861189583885,0.002461909332350576,,1.2776600371094107
2010-03-10,,0.07228130308148861,-0.0007823305017600202,18.56999969482422,0.05385029706159432,,3.7200000286102295,0.08700013160705566,-0.6246543943232788,,0.033810167682935655,-0.0691415070019985,0.9004371995010355,,0.026755976600142395,0.23144881398793887,0.017896644944372264,-0.00705419108279326,0.006004680459188894,,1.257500955903379
2010-03-11,,0.07887095636929864,0.0,18.059999465942383,0.05537098724093563,,3.7200000286102295,0.026000022888183594,-0.6478488651121875,,0.043077672501774744,-0.07266196306501005,0.9498035258321483,,0.04067810214101031,0.22621871340966107,0.021522448253643023,-0.002399570360764436,0.009330866147404526,,1.2537738282901851
2010-03-12,,0.06778873923699802,0.0,17.579999923706055,0.05688282163480176,,3.7100000381469727,-0.023000001907348633,-0.6034548853930928,,0.026543597501156535,-0.07282112329729518,0.7945577391787246,,0.016722550157026284,0.22040907302268758,0.00982066544869753,-0.009821047344130251,0.006559243883294874,,1.246161523391606
